"Ticker","company_name","Return","Volatility","Cluster","Cluster_Label"
"DHR","Danaher Corporation",-0.315128676383354,0.373794406953811,"1","Conservative / Defensive"
"ETN","Eaton Corporation",0.151394290859938,0.459470674522706,"2","Aggressive Growth"
"GILD","Gilead Sciences",0.391276788617912,0.299648644639859,"2","Aggressive Growth"
"BSX","Boston Scientific",0.382699162928693,0.275963412779592,"2","Aggressive Growth"
"SYK","Stryker Corporation",0.20396857333627,0.245047371175165,"3","Stable Yield"
"PANW","Palo Alto Networks",0.258649474759457,0.38929093868101,"2","Aggressive Growth"
"ADBE","Adobe Inc.",-0.272681302654094,0.35798811113251,"1","Conservative / Defensive"
"PFE","Pfizer",-0.194275180121471,0.256967435200452,"2","Aggressive Growth"
"KLAC","KLA Corporation",0.711175783316245,0.482265968183615,"4","High Volatility / Speculative"
"COF","Capital One",0.363214034466805,0.451950390692786,"4","High Volatility / Speculative"
"LOW","Lowe's",-0.223292278554931,0.258827541066212,"3","Stable Yield"
"UNP","Union Pacific Corporation",0.00870793447620755,0.262811471202196,"2","Aggressive Growth"
"PGR","Progressive Corporation",0.215305010763797,0.280639347162793,"2","Aggressive Growth"
"HON","Honeywell",0.0668829922573616,0.284892030419803,"2","Aggressive Growth"
"BX","Blackstone Inc.",-0.311951253352957,0.463048756514467,"1","Conservative / Defensive"
"CRWD","CrowdStrike",0.797137940291441,0.528877745693636,"4","High Volatility / Speculative"
"MDT","Medtronic",0.173041474543452,0.256831627945725,"2","Aggressive Growth"
"CEG","Constellation Energy",0.594584662401072,0.778985910386216,"4","High Volatility / Speculative"
"HOOD","Robinhood Markets, Inc.",1.80059272259937,0.850772244750194,"4","High Volatility / Speculative"
"DE","Deere & Company",0.407226976179196,0.311734110440485,"3","Stable Yield"
"LMT","Lockheed Martin",-0.0842081275553496,0.299908270916503,"3","Stable Yield"
"ADP","Automatic Data Processing",0.130632518387837,0.22285635347131,"3","Stable Yield"
"DASH","DoorDash",0.76597146351355,0.460363211890208,"4","High Volatility / Speculative"
"ADI","Analog Devices",0.247499773048404,0.486583395523702,"4","High Volatility / Speculative"
"KKR","KKR",-0.23876686499284,0.567091664081336,"1","Conservative / Defensive"
"WELL","Welltower",0.435536373785923,0.243997413617145,"2","Aggressive Growth"
"CB","Chubb Limited",0.127463960514527,0.234956060328483,"3","Stable Yield"
"COP","ConocoPhillips",-0.227119197801044,0.41027403719264,"1","Conservative / Defensive"
"CMCSA","Comcast",-0.0985815322533592,0.305198436784174,"2","Aggressive Growth"
"SO","Southern Company",0.234019487569589,0.20939689856994,"2","Aggressive Growth"
"MO","Altria",0.229596748745799,0.203988139570458,"2","Aggressive Growth"
"PLD","Prologis",0.0171084578502301,0.337666385001001,"2","Aggressive Growth"
"VRTX","Vertex Pharmaceuticals",0.193189796969678,0.285883776324266,"3","Stable Yield"
"DELL","Dell Technologies",0.105753097314617,0.599854801876173,"4","High Volatility / Speculative"
"MMC","Marsh McLennan",0.0707231348177339,0.216765618054763,"3","Stable Yield"
"NKE","Nike, Inc.",-0.0757094679894506,0.495642696732566,"1","Conservative / Defensive"
